Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,SubCategory,Product Name,Sales,Quantity,Discount,Profit,Price,Total Sales
273e6fd8,2024-10-09,2025-01-12,First Class,85a729,Jesse Cunningham,Home Office,South,Office Supplies,Storage,New Technology,87.42,10,0.34,143.05,8.742,57.6972
f9d76222,2023-06-25,2023-07-10,First Class,c31a54,Benjamin Rodriguez,Corporate,West,Office Supplies,Phones,Me By,156.32,1,0.18,161.94,156.32,128.1824
2f2bcefa,2024-09-23,2024-10-28,First Class,391755,David Mcknight,Home Office,West,Technology,Phones,Federal Assume,359.82,9,0.48,53.51,39.98,187.1064
957666da,2023-10-03,2023-04-06,First Class,e3cf63,Gregory Harrington,Corporate,South,Technology,Phones,Nice Tend,417.69,2,0.08,112.59,208.845,384.2748
f5dd82bd,2024-02-26,2023-03-13,First Class,641eab,Michael Cox,Corporate,East,Technology,Paper,Arrive Cost,412.5,1,0.15,87.54,412.5,350.625
ebce0d9b,2024-04-12,2024-03-19,Second Class,8c87f0,Jasmine Scott,Consumer,East,Technology,Chairs,Keep What,7.28,4,0.49,83.66,1.82,3.7128
c1678204,2024-01-19,2023-04-11,Same Day,5af52a,William Hawkins,Consumer,East,Office Supplies,Binders,Wide Suggest,329.79,4,0.07,181.46,82.4475,306.7047
b799d97f,2024-02-20,2024-06-17,Standard Class,e8efa1,Margaret Reyes,Corporate,Central,Technology,Phones,Hot Office,112.44,1,0.04,190.14,112.44,107.9424
82d3a969,2024-12-20,2023-10-10,First Class,017ad5,Daniel Archer,Corporate,Central,Office Supplies,Paper,Any Art,339.39,8,0.37,65.53,42.42375,213.8157
d5b5c68f,2023-07-10,2024-08-14,Same Day,fa9e83,Ernest Guzman,Corporate,East,Technology,Tables,Well Note,70.65,9,0.17,196.84,7.85,58.6395
8c3987d5,2024-10-14,2023-07-05,Second Class,1ff4d0,Devin Rose,Home Office,Central,Technology,Storage,Prepare Hold,456.26,6,0.33,198.72,76.04333333,305.6942
313ba410,2024-12-20,2024-04-16,Second Class,d9bb27,Glenn Odonnell,Corporate,West,Office Supplies,Binders,Agreement Throughout,51.28,2,0.17,73.35,25.64,42.5624
ff121c60,2025-02-06,2025-02-02,Same Day,66aefd,David Becker,Consumer,West,Technology,Tables,Listen Key,293.28,5,0.06,44.45,58.656,275.6832
7b0a15f1,2023-05-18,2023-07-28,Standard Class,70d5ab,Linda Maddox,Corporate,East,Furniture,Paper,Charge Individual,316.05,10,0.32,22.86,31.605,214.914
385aa855,2024-07-11,2024-07-18,Standard Class,9c0472,Tara Cannon,Consumer,Central,Office Supplies,Storage,Meeting Care,224.95,6,0.34,72.81,37.49166667,148.467
1d578a1e,2024-05-23,2024-10-03,Standard Class,3120af,Jordan Welch,Corporate,Central,Office Supplies,Phones,Usually Attorney,452.65,10,0.16,133.23,45.265,380.226
fd767474,2025-01-23,2024-04-13,Standard Class,d14ba0,Kayla Powell,Consumer,East,Furniture,Paper,Avoid Station,34.96,3,0.19,8.72,11.65333333,28.3176
be46ecef,2024-07-02,2023-06-27,Standard Class,dae8b4,Victoria Ayers,Home Office,Central,Office Supplies,Storage,Economic High,461.54,10,0.23,173.9,46.154,355.3858
db119945,2023-08-27,2024-07-22,Second Class,9c7169,Jessica Palmer,Home Office,West,Office Supplies,Tables,Hospital Name,487.89,10,0.29,189.09,48.789,346.4019
41eedbc8,2023-10-28,2023-05-21,Standard Class,849099,Vanessa Hamilton,Home Office,Central,Technology,Phones,Interview Surface,403.74,6,0.02,68.48,67.29,395.6652
bdf55d6b,2024-12-11,2024-06-07,First Class,9cb92b,Theresa Douglas,Home Office,East,Office Supplies,Paper,Data Different,271.86,7,0.15,73.19,38.83714286,231.081
f3a70aa1,2023-05-16,2024-07-11,Second Class,6f56d8,Thomas Graham,Corporate,Central,Technology,Paper,Up Country,383.65,8,0.26,179.96,47.95625,283.901
